subject,text,label
Special offer,Get 20% off on your next order. Use code SAVE20 at checkout.,spam
Job interview invitation,We would like to invite you for an interview for the position of Software Engineer.,ham
Package delivery,Your package from Amazon has been delivered. Please confirm receipt by replying to this email.,ham
Urgent message from bank,Action required: Your bank account has been temporarily suspended due to suspicious activity. Please log in to your account to verify your identity.,spam
Newsletter,Here's our latest newsletter with updates on our company and products.,ham
Enlarge your manhood,Get the ultimate solution to increase your manhood size.,spam
Online course registration,Registration for our online course on Machine Learning is now open. Sign up now to secure your spot.,ham
Your account has been hacked,We regret to inform you that your account has been hacked. Please reset your password immediately to prevent further damage.,spam
Meeting reminder,This is a reminder that our team meeting is scheduled for next Wednesday at 10 am. Please make sure to attend.,ham
Important message from your bank,Dear valued customer we have noticed suspicious activity on your account. Please click the link below to verify your identity.,spam
Invitation to attend a free seminar,You're invited to attend a free seminar on how to grow your business. Register now to secure your spot.,ham
Amazing weight loss solution,Lose 10 pounds in 10 days with our revolutionary weight loss solution. Order now and start seeing results!,spam
Meeting rescheduled,Due to unforeseen circumstances the meeting scheduled for tomorrow has been rescheduled for next week. We apologize for any inconvenience.,ham
Your account has been credited,Congratulations! Your account has been credited with $500 as part of our loyalty rewards program.,ham
New job opportunities,We have several job openings in your field. Click the link below to learn more and apply now.,spam
URGENT: Action required,Your account is at risk of being closed. Please take action immediately to prevent this from happening.,spam
Reminder: Parent-teacher conference,Don't forget about our upcoming event next Saturday. RSVP the parent-teacher conference is scheduled for next week. Please make sure to attend. ,ham
Exclusive offer for our VIP customers,As one of our valued VIP customers we're offering you an exclusive discount on our latest products. Order now before it's too late!,spam
Important update from HR,Please be advised that there will be changes to the company's benefits program starting next month. Please see the attached document for details.,ham
Free trial of our new software,Try our new software for free for 30 days. Download now and start experiencing the benefits!,ham
URGENT: Your account has been compromised,We have reason to believe that your account may have been compromised. Please click the link below to reset your password and secure your account.,spam
Reminder: Annual company picnic,The annual company picnic is scheduled for next Saturday. Please RSVP by Wednesday so we can plan accordingly.,ham
Congratulations, you're a winner! You've been selected as the winner of our monthly prize drawing. Click the link below to claim your prize.,spam
Job interview confirmation,We're pleased to confirm your job interview scheduled for next Monday. Please arrive at least 15 minutes early.,ham
Exclusive offer for our email subscribers,As a valued subscriber to our email list we're offering you an exclusive discount on our products. Use the code provided at checkout to receive your discount.,spam
Important message from HR,Due to a recent security breach all employees are required to update their passwords immediately. Please click the link below to change your password.,spam
Request for proposal,We're interested in working with your company on an upcoming project. Please see the attached document for more information and let us know if you're interested in submitting a proposal.,ham
Claim your free trial now!,Try our product for free for 14 days. Click the link below to download and start your free trial today!,spam
Reminder: Team meeting,Don't forget the team meeting is scheduled for tomorrow at 10am. Please come prepared with your updates and any questions you may have.,ham
Exclusive offer for our social media followers,As one of our valued social media followers we're offering you an exclusive discount on our products. Use the code provided at checkout to receive your discount.,spam
New product launch,We're excited to announce the launch of our latest product. Click the link below to learn more and place your order.,ham
Free money,Hi there! You've just won $1000. Click on this link to claim your prize!,spam
Important meeting,Reminder: We have a meeting at 2pm today in conference room B.,ham
Get rich quick,Make money fast! Earn $10000 per week with our easy-to-use system.,spam
Lunch plans,Do you want to grab lunch today? There's a new sushi place down the street.,ham
You're a winner,Congratulations! You're the lucky winner of a free cruise to the Caribbean.,spam
Meeting agenda,Here's the agenda for our meeting today: 1. Discuss new marketing campaign 2. Review budget,ham
Discount offer,Save 20% on all purchases over $50 with this coupon code: DISCOUNT20.,spam
Weekly report,Attached is the weekly sales report for the team. Let me know if you have any questions.,ham
Special promotion,Don't miss out on our limited-time offer! Get a free gift with your purchase today.,spam
New product launch,Exciting news: We're launching a new product next week. Stay tuned for more details!,ham
